location,source,target
0x453b60@mhfdat-jp.bin,装備無し,
0x453b64@mhfdat-jp.bin,レザーライトアーム,
0x453b68@mhfdat-jp.bin,チェーンアーム,
0x453b6c@mhfdat-jp.bin,ハンターアーム,
0x453b70@mhfdat-jp.bin,ハンターガード,
0x453b74@mhfdat-jp.bin,ボーンアーム,
0x453b78@mhfdat-jp.bin,ボーンガード,
0x453b7c@mhfdat-jp.bin,ランポスアーム,
0x453b80@mhfdat-jp.bin,ランポスガード,
0x453b84@mhfdat-jp.bin,バトルアーム,
0x453b88@mhfdat-jp.bin,バトルガード,
0x453b8c@mhfdat-jp.bin,ランゴアーム,
0x453b90@mhfdat-jp.bin,ランゴガード,
0x453b94@mhfdat-jp.bin,タロスアーム,
0x453b98@mhfdat-jp.bin,タロスガード,
0x453b9c@mhfdat-jp.bin,ハイメタアーム,
0x453ba0@mhfdat-jp.bin,ハイメタガード,
0x453ba4@mhfdat-jp.bin,ゲネポスアーム,
0x453ba8@mhfdat-jp.bin,ゲネポスガード,
0x453bac@mhfdat-jp.bin,クックアーム,
0x453bb0@mhfdat-jp.bin,クックガード,
0x453bb4@mhfdat-jp.bin,イーオスアーム,
0x453bb8@mhfdat-jp.bin,イーオスガード,
0x453bbc@mhfdat-jp.bin,ゲリョスアーム,
0x453bc0@mhfdat-jp.bin,ゲリョスガード,
0x453bc4@mhfdat-jp.bin,ガレオスアーム,
0x453bc8@mhfdat-jp.bin,ガレオスガード,
0x453bcc@mhfdat-jp.bin,スティールアーム,
0x453bd0@mhfdat-jp.bin,レイアアーム,
0x453bd4@mhfdat-jp.bin,レイアガード,
0x453bd8@mhfdat-jp.bin,フルフルアーム,
0x453bdc@mhfdat-jp.bin,フルフルガード,
0x453be0@mhfdat-jp.bin,レウスアーム,
0x453be4@mhfdat-jp.bin,レウスガード,
0x453be8@mhfdat-jp.bin,ガノスアーム,
0x453bec@mhfdat-jp.bin,ガノスガード,
0x453bf0@mhfdat-jp.bin,キングロブスタアーム,
0x453bf4@mhfdat-jp.bin,キングロブスタガード,
0x453bf8@mhfdat-jp.bin,バサルアーム,
0x453bfc@mhfdat-jp.bin,バサルガード,
0x453c00@mhfdat-jp.bin,ディアブロアーム,
