location,source,target
0x460da0@mhfdat-jp.bin,装備無し,
0x460da4@mhfdat-jp.bin,レザーライトメイル,
0x460da8@mhfdat-jp.bin,チェーンメイル,
0x460dac@mhfdat-jp.bin,ハンターメイル,
0x460db0@mhfdat-jp.bin,ハンターレジスト,
0x460db4@mhfdat-jp.bin,ボーンメイル,
0x460db8@mhfdat-jp.bin,ボーンレジスト,
0x460dbc@mhfdat-jp.bin,ランポスメイル,
0x460dc0@mhfdat-jp.bin,ランポスレジスト,
0x460dc4@mhfdat-jp.bin,バトルメイル,
0x460dc8@mhfdat-jp.bin,バトルレジスト,
0x460dcc@mhfdat-jp.bin,ランゴメイル,
0x460dd0@mhfdat-jp.bin,ランゴレジスト,
0x460dd4@mhfdat-jp.bin,タロスメイル,
0x460dd8@mhfdat-jp.bin,タロスレジスト,
0x460ddc@mhfdat-jp.bin,ハイメタメイル,
0x460de0@mhfdat-jp.bin,ハイメタレジスト,
0x460de4@mhfdat-jp.bin,ゲネポスメイル,
0x460de8@mhfdat-jp.bin,ゲネポスレジスト,
0x460dec@mhfdat-jp.bin,クックメイル,
0x460df0@mhfdat-jp.bin,クックレジスト,
0x460df4@mhfdat-jp.bin,イーオスメイル,
0x460df8@mhfdat-jp.bin,イーオスレジスト,
0x460dfc@mhfdat-jp.bin,ゲリョスメイル,
0x460e00@mhfdat-jp.bin,ゲリョスレジスト,
0x460e04@mhfdat-jp.bin,ガレオスメイル,
0x460e08@mhfdat-jp.bin,ガレオスレジスト,
0x460e0c@mhfdat-jp.bin,スティールメイル,
0x460e10@mhfdat-jp.bin,レイアメイル,
0x460e14@mhfdat-jp.bin,レイアレジスト,
0x460e18@mhfdat-jp.bin,フルフルメイル,
0x460e1c@mhfdat-jp.bin,フルフルレジスト,
0x460e20@mhfdat-jp.bin,レウスメイル,
0x460e24@mhfdat-jp.bin,レウスレジスト,
0x460e28@mhfdat-jp.bin,ガノスメイル,
0x460e2c@mhfdat-jp.bin,ガノスレジスト,
0x460e30@mhfdat-jp.bin,キングロブスタシェル,
0x460e34@mhfdat-jp.bin,キングロブスタスキン,
0x460e38@mhfdat-jp.bin,バサルメイル,
0x460e3c@mhfdat-jp.bin,バサルレジスト,
0x460e40@mhfdat-jp.bin,ディアブロメイル,
0x460e44@mhfdat-jp.bin,ディアブロレジスト,
0x460e48@mhfdat-jp.bin,モノブロスメイル,
0x460e4c@mhfdat-jp.bin,モノブロスレジスト,
0x460e50@mhfdat-jp.bin,グラビドメイル,
0x460e54@mhfdat-jp.bin,グラビドレジスト,
0x460e58@mhfdat-jp.bin,クロオビメイル,
0x460e5c@mhfdat-jp.bin,モスブレスト,
0x460e60@mhfdat-jp.bin,メルホアトロンコ,
0x460e64@mhfdat-jp.bin,マカルパペプラム,
0x460e68@mhfdat-jp.bin,ビストロベスト,
0x460e6c@mhfdat-jp.bin,ランポスーツボディ,
0x460e70@mhfdat-jp.bin,ゲネポスーツボディ,
0x460e74@mhfdat-jp.bin,イーオスーツボディ,
0x460e78@mhfdat-jp.bin,忍の装束・陽,
0x460e7c@mhfdat-jp.bin,忍の装束・陰,
0x460e80@mhfdat-jp.bin,ガーディアンスーツ,
0x460e84@mhfdat-jp.bin,ガーディアンベスト,
