location,source,target
0x46e000@mhfdat-jp.bin,装備無し,
0x46e004@mhfdat-jp.bin,レザーライトヘルム,
0x46e008@mhfdat-jp.bin,チェーンヘルム,
0x46e00c@mhfdat-jp.bin,ハンターヘルム,
0x46e010@mhfdat-jp.bin,ハンターキャップ,
0x46e014@mhfdat-jp.bin,ボーンヘルム,
0x46e018@mhfdat-jp.bin,ボーンキャップ,
0x46e01c@mhfdat-jp.bin,ランポスヘルム,
0x46e020@mhfdat-jp.bin,ランポスキャップ,
0x46e024@mhfdat-jp.bin,バトルヘルム,
0x46e028@mhfdat-jp.bin,バトルキャップ,
0x46e02c@mhfdat-jp.bin,ランゴヘルム,
0x46e030@mhfdat-jp.bin,ランゴキャップ,
0x46e034@mhfdat-jp.bin,タロスヘルム,
0x46e038@mhfdat-jp.bin,タロスキャップ,
0x46e03c@mhfdat-jp.bin,ハイメタヘルム,
0x46e040@mhfdat-jp.bin,ハイメタキャップ,
0x46e044@mhfdat-jp.bin,ゲネポスヘルム,
0x46e048@mhfdat-jp.bin,ゲネポスキャップ,
0x46e04c@mhfdat-jp.bin,イーオスヘルム,
0x46e050@mhfdat-jp.bin,イーオスキャップ,
0x46e054@mhfdat-jp.bin,ゲリョスヘルム,
0x46e058@mhfdat-jp.bin,ゲリョスキャップ,
0x46e05c@mhfdat-jp.bin,ガレオスヘルム,
0x46e060@mhfdat-jp.bin,ガレオスキャップ,
0x46e064@mhfdat-jp.bin,レイアヘルム,
0x46e068@mhfdat-jp.bin,レイアキャップ,
0x46e06c@mhfdat-jp.bin,フルフルヘルム,
0x46e070@mhfdat-jp.bin,フルフルキャップ,
0x46e074@mhfdat-jp.bin,レウスヘルム,
0x46e078@mhfdat-jp.bin,レウスキャップ,
0x46e07c@mhfdat-jp.bin,ガノスヘルム,
0x46e080@mhfdat-jp.bin,ガノスキャップ,
0x46e084@mhfdat-jp.bin,キングロブスタヘルム,
0x46e088@mhfdat-jp.bin,バサルヘルム,
0x46e08c@mhfdat-jp.bin,バサルキャップ,
0x46e090@mhfdat-jp.bin,ディアブロヘルム,
0x46e094@mhfdat-jp.bin,ディアブロキャップ,
0x46e098@mhfdat-jp.bin,モノブロスヘルム,
0x46e09c@mhfdat-jp.bin,モノブロスキャップ,
0x46e0a0@mhfdat-jp.bin,グラビドヘルム,
0x46e0a4@mhfdat-jp.bin,グラビドキャップ,
0x46e0a8@mhfdat-jp.bin,クロオビヘルム,
0x46e0ac@mhfdat-jp.bin,モスフェイク,
0x46e0b0@mhfdat-jp.bin,アイルーフェイク,
0x46e0b4@mhfdat-jp.bin,混沌のパオ,
0x46e0b8@mhfdat-jp.bin,メルホアフロール,
0x46e0bc@mhfdat-jp.bin,マカルパフード,
0x46e0c0@mhfdat-jp.bin,ビストロキャップ,
0x46e0c4@mhfdat-jp.bin,ランポスフェイク,
0x46e0c8@mhfdat-jp.bin,ゲネポスフェイク,
0x46e0cc@mhfdat-jp.bin,イーオスフェイク,
0x46e0d0@mhfdat-jp.bin,ブルファンゴフェイク,
0x46e0d4@mhfdat-jp.bin,レッドピアス,
0x46e0d8@mhfdat-jp.bin,ブルーピアス,
0x46e0dc@mhfdat-jp.bin,イエローピアス,
0x46e0e0@mhfdat-jp.bin,ブラックピアス,
0x46e0e4@mhfdat-jp.bin,忍の面・陽,
0x46e0e8@mhfdat-jp.bin,忍の面・陰,
0x46e0ec@mhfdat-jp.bin,ガーディアンヘルム,
0x46e0f0@mhfdat-jp.bin,ガーディアンマスク,
0x46e0f4@mhfdat-jp.bin,ヘルパーフード,
0x46e0f8@mhfdat-jp.bin,ヒーラーグラス,
0x46e0fc@mhfdat-jp.bin,スカルフェイス,
0x46e100@mhfdat-jp.bin,ガルルガヘルム,
0x46e104@mhfdat-jp.bin,ガルルガキャップ,
0x46e108@mhfdat-jp.bin,ガルルガフェイク,
0x46e10c@mhfdat-jp.bin,暁丸【兜】,
0x46e110@mhfdat-jp.bin,曙丸【烏帽子】,
0x46e114@mhfdat-jp.bin,凛【鉢金】,
0x46e118@mhfdat-jp.bin,艶【鉢金】,
0x46e11c@mhfdat-jp.bin,ドラゴンヘッド,
0x46e120@mhfdat-jp.bin,ドラゴンフェイス,
0x46e124@mhfdat-jp.bin,レザーライトＵヘルム,
0x46e128@mhfdat-jp.bin,チェーンＵヘルム,
0x46e12c@mhfdat-jp.bin,ハンターＵヘルム,
0x46e130@mhfdat-jp.bin,ハンターＵキャップ,
0x46e134@mhfdat-jp.bin,ボーンＵヘルム,
0x46e138@mhfdat-jp.bin,ボーンＵキャップ,
0x46e13c@mhfdat-jp.bin,ギアノスヘルム,
0x46e140@mhfdat-jp.bin,ギアノスキャップ,
0x46e144@mhfdat-jp.bin,バトルＵヘルム,
0x46e148@mhfdat-jp.bin,バトルＵキャップ,
0x46e14c@mhfdat-jp.bin,ランゴＵヘルム,
0x46e150@mhfdat-jp.bin,ランゴＵキャップ,
0x46e154@mhfdat-jp.bin,タロスＵヘルム,
0x46e158@mhfdat-jp.bin,タロスＵキャップ,
0x46e15c@mhfdat-jp.bin,ハイメタＵヘルム,
0x46e160@mhfdat-jp.bin,ハイメタＵキャップ,
0x46e164@mhfdat-jp.bin,ゲネポスＵヘルム,
0x46e168@mhfdat-jp.bin,ゲネポスＵキャップ,
0x46e16c@mhfdat-jp.bin,イーオスＵヘルム,
0x46e170@mhfdat-jp.bin,イーオスＵキャップ,
0x46e174@mhfdat-jp.bin,ゲリョスＵヘルム,
0x46e178@mhfdat-jp.bin,ゲリョスＵキャップ,
0x46e17c@mhfdat-jp.bin,ガレオスＵヘルム,
0x46e180@mhfdat-jp.bin,ガレオスＵキャップ,
0x46e184@mhfdat-jp.bin,リオハートヘルム,
0x46e188@mhfdat-jp.bin,リオハートキャップ,
0x46e18c@mhfdat-jp.bin,フルフルＵヘルム,
0x46e190@mhfdat-jp.bin,フルフルＵキャップ,
0x46e194@mhfdat-jp.bin,リオソウルヘルム,
0x46e198@mhfdat-jp.bin,リオソウルキャップ,
0x46e19c@mhfdat-jp.bin,ガノスＵヘルム,
0x46e1a0@mhfdat-jp.bin,ガノスＵキャップ,
0x46e1a4@mhfdat-jp.bin,バサルＵヘルム,
0x46e1a8@mhfdat-jp.bin,バサルＵキャップ,
0x46e1ac@mhfdat-jp.bin,ディアブロＵヘルム,
0x46e1b0@mhfdat-jp.bin,ディアブロＵキャップ,
0x46e1b4@mhfdat-jp.bin,モノデビルヘルム,
0x46e1b8@mhfdat-jp.bin,モノデビルキャップ,
0x46e1bc@mhfdat-jp.bin,グラビドＵヘルム,
0x46e1c0@mhfdat-jp.bin,グラビドＵキャップ,
0x46e1c4@mhfdat-jp.bin,忍の面・空,
0x46e1c8@mhfdat-jp.bin,忍の面・海,
0x46e1cc@mhfdat-jp.bin,ガーディアンＵヘルム,
0x46e1d0@mhfdat-jp.bin,ガーディアンＵマスク,
0x46e1d4@mhfdat-jp.bin,ヘルパーＵフード,
0x46e1d8@mhfdat-jp.bin,ヒーラーＵベレー,
0x46e1dc@mhfdat-jp.bin,暁丸・皇【兜】,
0x46e1e0@mhfdat-jp.bin,曙丸・皇【烏帽子】,
0x46e1e4@mhfdat-jp.bin,凛・皇【鉢金】,
0x46e1e8@mhfdat-jp.bin,艶・皇【鉢金】,
0x46e1ec@mhfdat-jp.bin,ミラバルカンヘッド,
0x46e1f0@mhfdat-jp.bin,ミラバルカンフェイス,
0x46e1f4@mhfdat-jp.bin,ゴールドルナヘルム,
0x46e1f8@mhfdat-jp.bin,ゴールドルナキャップ,
0x46e1fc@mhfdat-jp.bin,シルバーソルヘルム,
0x46e200@mhfdat-jp.bin,シルバーソルキャップ,
0x46e204@mhfdat-jp.bin,レザーライトＳヘルム,
0x46e208@mhfdat-jp.bin,チェーンＳヘルム,
0x46e20c@mhfdat-jp.bin,ハンターＳヘルム,
0x46e210@mhfdat-jp.bin,ハンターＳキャップ,
