location,source,target
0x4391e0@mhfdat-jp.bin,装備無し,
0x4391e4@mhfdat-jp.bin,グリーンジャージー,
0x4391e8@mhfdat-jp.bin,ブルージャージー,
0x4391ec@mhfdat-jp.bin,ハンターグリーヴ,
0x4391f0@mhfdat-jp.bin,ハンターレギンス,
0x4391f4@mhfdat-jp.bin,ボーングリーヴ,
0x4391f8@mhfdat-jp.bin,ボーンレギンス,
0x4391fc@mhfdat-jp.bin,ランポスグリーヴ,
0x439200@mhfdat-jp.bin,ランポスレギンス,
0x439204@mhfdat-jp.bin,バトルグリーヴ,
0x439208@mhfdat-jp.bin,バトルレギンス,
0x43920c@mhfdat-jp.bin,シルバーメタルブーツ,
0x439210@mhfdat-jp.bin,ランゴグリーヴ,
0x439214@mhfdat-jp.bin,ランゴレギンス,
0x439218@mhfdat-jp.bin,タロスグリーヴ,
0x43921c@mhfdat-jp.bin,タロスレギンス,
0x439220@mhfdat-jp.bin,ハイメタグリーヴ,
0x439224@mhfdat-jp.bin,ハイメタレギンス,
0x439228@mhfdat-jp.bin,ダークメタルブーツ,
0x43922c@mhfdat-jp.bin,ゲネポスグリーヴ,
0x439230@mhfdat-jp.bin,ゲネポスレギンス,
0x439234@mhfdat-jp.bin,ピンクメタルブーツ,
0x439238@mhfdat-jp.bin,クロムメタルブーツ,
0x43923c@mhfdat-jp.bin,イーオスグリーヴ,
0x439240@mhfdat-jp.bin,イーオスレギンス,
0x439244@mhfdat-jp.bin,ゲリョスグリーヴ,
0x439248@mhfdat-jp.bin,ゲリョスレギンス,
0x43924c@mhfdat-jp.bin,ガレオスグリーヴ,
0x439250@mhfdat-jp.bin,ガレオスレギンス,
0x439254@mhfdat-jp.bin,レイアグリーヴ,
0x439258@mhfdat-jp.bin,レイアレギンス,
0x43925c@mhfdat-jp.bin,フルフルグリーヴ,
0x439260@mhfdat-jp.bin,フルフルレギンス,
0x439264@mhfdat-jp.bin,レウスグリーヴ,
0x439268@mhfdat-jp.bin,レウスレギンス,
0x43926c@mhfdat-jp.bin,ガノスグリーヴ,
0x439270@mhfdat-jp.bin,ガノスレギンス,
0x439274@mhfdat-jp.bin,バサルグリーヴ,
0x439278@mhfdat-jp.bin,バサルレギンス,
0x43927c@mhfdat-jp.bin,ディアブログリーヴ,
0x439280@mhfdat-jp.bin,ディアブロレギンス,
0x439284@mhfdat-jp.bin,モノブロスグリーヴ,
0x439288@mhfdat-jp.bin,モノブロスレギンス,
0x43928c@mhfdat-jp.bin,グラビドグリーヴ,
0x439290@mhfdat-jp.bin,グラビドレギンス,
0x439294@mhfdat-jp.bin,クロオビグリーヴ,
0x439298@mhfdat-jp.bin,モスフット,
0x43929c@mhfdat-jp.bin,ランポスーツフット,
0x4392a0@mhfdat-jp.bin,ゲネポスーツフット,
0x4392a4@mhfdat-jp.bin,イーオスーツフット,
0x4392a8@mhfdat-jp.bin,忍の足袋・陽,
0x4392ac@mhfdat-jp.bin,忍の足袋・陰,
0x4392b0@mhfdat-jp.bin,ガーディアンブーツ,
