location,source,target
0x446520@mhfdat-jp.bin,装備無し,
0x446524@mhfdat-jp.bin,レザーライトベルト,
0x446528@mhfdat-jp.bin,スキンライトベルト,
0x44652c@mhfdat-jp.bin,チェーンライトベルト,
0x446530@mhfdat-jp.bin,アイアンベルト,
0x446534@mhfdat-jp.bin,ハンターフォールド,
0x446538@mhfdat-jp.bin,ハンターコート,
0x44653c@mhfdat-jp.bin,ボーンフォールド,
0x446540@mhfdat-jp.bin,ボーンコート,
0x446544@mhfdat-jp.bin,ランポスフォールド,
0x446548@mhfdat-jp.bin,ランポスコート,
0x44654c@mhfdat-jp.bin,バトルフォールド,
0x446550@mhfdat-jp.bin,バトルコート,
0x446554@mhfdat-jp.bin,ハイドベルト,
0x446558@mhfdat-jp.bin,ランゴフォールド,
0x44655c@mhfdat-jp.bin,ランゴコート,
0x446560@mhfdat-jp.bin,タロスフォールド,
0x446564@mhfdat-jp.bin,タロスコート,
0x446568@mhfdat-jp.bin,ハイメタフォールド,
0x44656c@mhfdat-jp.bin,ハイメタコート,
0x446570@mhfdat-jp.bin,ゲネポスフォールド,
0x446574@mhfdat-jp.bin,ゲネポスコート,
0x446578@mhfdat-jp.bin,クロムメタルコイル,
0x44657c@mhfdat-jp.bin,クックフォールド,
0x446580@mhfdat-jp.bin,クックコート,
0x446584@mhfdat-jp.bin,イーオスフォールド,
0x446588@mhfdat-jp.bin,イーオスコート,
0x44658c@mhfdat-jp.bin,ゲリョスフォールド,
0x446590@mhfdat-jp.bin,ゲリョスコート,
0x446594@mhfdat-jp.bin,ガレオスフォールド,
0x446598@mhfdat-jp.bin,ガレオスコート,
0x44659c@mhfdat-jp.bin,スティールベルト,
0x4465a0@mhfdat-jp.bin,レイアフォールド,
0x4465a4@mhfdat-jp.bin,レイアコート,
0x4465a8@mhfdat-jp.bin,フルフルフォールド,
0x4465ac@mhfdat-jp.bin,フルフルコート,
0x4465b0@mhfdat-jp.bin,レウスフォールド,
0x4465b4@mhfdat-jp.bin,レウスコート,
0x4465b8@mhfdat-jp.bin,バサルフォールド,
0x4465bc@mhfdat-jp.bin,バサルコート,
0x4465c0@mhfdat-jp.bin,ディアブロコイル,
0x4465c4@mhfdat-jp.bin,ディアブロコート,
0x4465c8@mhfdat-jp.bin,モノブロスコイル,
0x4465cc@mhfdat-jp.bin,モノブロスコート,
0x4465d0@mhfdat-jp.bin,グラビドフォールド,
0x4465d4@mhfdat-jp.bin,グラビドコート,
0x4465d8@mhfdat-jp.bin,クロオビフォールド,
0x4465dc@mhfdat-jp.bin,モスヒップ,
0x4465e0@mhfdat-jp.bin,メルホアオッハ,
0x4465e4@mhfdat-jp.bin,ビストロエプロン,
0x4465e8@mhfdat-jp.bin,忍の帯・陽,
0x4465ec@mhfdat-jp.bin,忍の帯・陰,
0x4465f0@mhfdat-jp.bin,ガーディアンコイル,
0x4465f4@mhfdat-jp.bin,ガーディアンコート,
0x4465f8@mhfdat-jp.bin,ヘルパースカート,
0x4465fc@mhfdat-jp.bin,ヒーラーフリル,
0x446600@mhfdat-jp.bin,ガルルガフォールド,
0x446604@mhfdat-jp.bin,ガルルガコート,
0x446608@mhfdat-jp.bin,暁丸【腰当て】,
0x44660c@mhfdat-jp.bin,曙丸【腰当て】,
0x446610@mhfdat-jp.bin,凛【腰当て】,
0x446614@mhfdat-jp.bin,艶【腰当て】,
0x446618@mhfdat-jp.bin,紅凛【腰当て】,
0x44661c@mhfdat-jp.bin,紅艶【腰当て】,
0x446620@mhfdat-jp.bin,ドラゴンウイング,
0x446624@mhfdat-jp.bin,ドラゴンテイル,
0x446628@mhfdat-jp.bin,レザーライトＵベルト,
0x44662c@mhfdat-jp.bin,チェーンＵベルト,
0x446630@mhfdat-jp.bin,ハンターＵフォールド,
0x446634@mhfdat-jp.bin,ハンターＵコート,
0x446638@mhfdat-jp.bin,ボーンＵフォールド,
0x44663c@mhfdat-jp.bin,ボーンＵコート,
0x446640@mhfdat-jp.bin,ギアノスフォールド,
0x446644@mhfdat-jp.bin,ギアノスコート,
0x446648@mhfdat-jp.bin,バトルＵフォールド,
0x44664c@mhfdat-jp.bin,バトルＵコート,
0x446650@mhfdat-jp.bin,ランゴＵフォールド,
0x446654@mhfdat-jp.bin,ランゴＵコート,
0x446658@mhfdat-jp.bin,タロスＵフォールド,
0x44665c@mhfdat-jp.bin,タロスＵコート,
0x446660@mhfdat-jp.bin,ハイメタＵフォールド,
0x446664@mhfdat-jp.bin,ハイメタＵコート,
0x446668@mhfdat-jp.bin,ゲネポスＵフォールド,
0x44666c@mhfdat-jp.bin,ゲネポスＵコート,
0x446670@mhfdat-jp.bin,クックＵフォールド,
0x446674@mhfdat-jp.bin,クックＵコート,
0x446678@mhfdat-jp.bin,イーオスＵフォールド,
0x44667c@mhfdat-jp.bin,イーオスＵコート,
0x446680@mhfdat-jp.bin,ゲリョスＵフォールド,
0x446684@mhfdat-jp.bin,ゲリョスＵコート,
0x446688@mhfdat-jp.bin,ガレオスＵフォールド,
0x44668c@mhfdat-jp.bin,ガレオスＵコート,
0x446690@mhfdat-jp.bin,スティールＵベルト,
0x446694@mhfdat-jp.bin,リオハートフォールド,
0x446698@mhfdat-jp.bin,リオハートコート,
0x44669c@mhfdat-jp.bin,フルフルＵフォールド,
0x4466a0@mhfdat-jp.bin,フルフルＵコート,
0x4466a4@mhfdat-jp.bin,リオソウルフォールド,
0x4466a8@mhfdat-jp.bin,リオソウルコート,
0x4466ac@mhfdat-jp.bin,バサルＵフォールド,
0x4466b0@mhfdat-jp.bin,バサルＵコート,
0x4466b4@mhfdat-jp.bin,ディアブロＵコイル,
0x4466b8@mhfdat-jp.bin,ディアブロＵコート,
0x4466bc@mhfdat-jp.bin,モノデビルコイル,
0x4466c0@mhfdat-jp.bin,モノデビルコート,
0x4466c4@mhfdat-jp.bin,グラビドＵフォールド,
0x4466c8@mhfdat-jp.bin,グラビドＵコート,
0x4466cc@mhfdat-jp.bin,忍の帯・空,
0x4466d0@mhfdat-jp.bin,忍の帯・海,
0x4466d4@mhfdat-jp.bin,ガーディアンＵコイル,
0x4466d8@mhfdat-jp.bin,ガーディアンＵコート,
0x4466dc@mhfdat-jp.bin,ヘルパーＵスカート,
0x4466e0@mhfdat-jp.bin,ヒーラーＵフリル,
