location,source,target
0xb9c0a0@mhfdat-jp.bin,−−−−−−,
0xb9c0a4@mhfdat-jp.bin,調合書①入門編,
0xb9c0a8@mhfdat-jp.bin,調合書②初級編,
0xb9c0ac@mhfdat-jp.bin,調合書③中級編,
0xb9c0b0@mhfdat-jp.bin,調合書④上級編,
0xb9c0b4@mhfdat-jp.bin,調合書⑤達人編,
0xb9c0b8@mhfdat-jp.bin,調合書Ｇ・錬金編,
0xb9c0bc@mhfdat-jp.bin,回復薬,
0xb9c0c0@mhfdat-jp.bin,回復薬グレート,
0xb9c0c4@mhfdat-jp.bin,栄養剤,
0xb9c0c8@mhfdat-jp.bin,栄養剤グレート,
0xb9c0cc@mhfdat-jp.bin,解毒薬,
0xb9c0d0@mhfdat-jp.bin,活力剤,
0xb9c0d4@mhfdat-jp.bin,強走薬,
0xb9c0d8@mhfdat-jp.bin,強走薬グレート,
0xb9c0dc@mhfdat-jp.bin,鬼人薬,
0xb9c0e0@mhfdat-jp.bin,鬼人薬グレート,
0xb9c0e4@mhfdat-jp.bin,怪力の丸薬,
0xb9c0e8@mhfdat-jp.bin,硬化薬,
0xb9c0ec@mhfdat-jp.bin,硬化薬グレート,
0xb9c0f0@mhfdat-jp.bin,忍耐の丸薬,
0xb9c0f4@mhfdat-jp.bin,クーラードリンク,
0xb9c0f8@mhfdat-jp.bin,ホットドリンク,
0xb9c0fc@mhfdat-jp.bin,千里眼の薬,
0xb9c100@mhfdat-jp.bin,モンスターの体液,
0xb9c104@mhfdat-jp.bin,モンスターの濃汁,
0xb9c108@mhfdat-jp.bin,漢方薬,
0xb9c10c@mhfdat-jp.bin,秘薬,
0xb9c110@mhfdat-jp.bin,いにしえの秘薬,
0xb9c114@mhfdat-jp.bin,増強剤,
0xb9c118@mhfdat-jp.bin,元気ドリンコ,
0xb9c11c@mhfdat-jp.bin,（ダミー）,
0xb9c120@mhfdat-jp.bin,爆薬,
0xb9c124@mhfdat-jp.bin,生命の粉,
0xb9c128@mhfdat-jp.bin,生命の粉塵,
0xb9c12c@mhfdat-jp.bin,力の護符,
0xb9c130@mhfdat-jp.bin,力の爪,
0xb9c134@mhfdat-jp.bin,守りの護符,
0xb9c138@mhfdat-jp.bin,守りの爪,
0xb9c13c@mhfdat-jp.bin,捕獲用麻酔薬,
0xb9c140@mhfdat-jp.bin,生肉,
0xb9c144@mhfdat-jp.bin,調理肉,
0xb9c148@mhfdat-jp.bin,スパイシー生肉,
0xb9c14c@mhfdat-jp.bin,クール生肉,
0xb9c150@mhfdat-jp.bin,毒生肉,
0xb9c154@mhfdat-jp.bin,シビレ生肉,
0xb9c158@mhfdat-jp.bin,眠り生肉,
0xb9c15c@mhfdat-jp.bin,生焼け肉,
0xb9c160@mhfdat-jp.bin,こんがり肉,
0xb9c164@mhfdat-jp.bin,こんがり肉Ｇ,
0xb9c168@mhfdat-jp.bin,コゲ肉,
0xb9c16c@mhfdat-jp.bin,ホットミート,
0xb9c170@mhfdat-jp.bin,ホットミートＧ,
0xb9c174@mhfdat-jp.bin,クーラーミート,
0xb9c178@mhfdat-jp.bin,クーラーミートＧ,
0xb9c17c@mhfdat-jp.bin,解毒ミート,
0xb9c180@mhfdat-jp.bin,解毒ミートＧ,
0xb9c184@mhfdat-jp.bin,生焼け魚,
0xb9c188@mhfdat-jp.bin,こんがり魚,
0xb9c18c@mhfdat-jp.bin,こんがり魚ドス,
0xb9c190@mhfdat-jp.bin,こんがり魚Ｇ,
0xb9c194@mhfdat-jp.bin,こんがり魚ドスＧ,
0xb9c198@mhfdat-jp.bin,コゲ魚,
0xb9c19c@mhfdat-jp.bin,（ダミー）,
0xb9c1a0@mhfdat-jp.bin,ブーメラン,
0xb9c1a4@mhfdat-jp.bin,投げナイフ,
0xb9c1a8@mhfdat-jp.bin,毒投げナイフ,
0xb9c1ac@mhfdat-jp.bin,眠り投げナイフ,
0xb9c1b0@mhfdat-jp.bin,麻痺投げナイフ,
0xb9c1b4@mhfdat-jp.bin,捕獲用麻酔ナイフ,
0xb9c1b8@mhfdat-jp.bin,素材玉,
0xb9c1bc@mhfdat-jp.bin,ペイントボール,
0xb9c1c0@mhfdat-jp.bin,閃光玉,
0xb9c1c4@mhfdat-jp.bin,音爆弾,
0xb9c1c8@mhfdat-jp.bin,モンスターのフン,
0xb9c1cc@mhfdat-jp.bin,こやし玉,
0xb9c1d0@mhfdat-jp.bin,けむり玉,
0xb9c1d4@mhfdat-jp.bin,毒けむり玉,
0xb9c1d8@mhfdat-jp.bin,モドリ玉,
0xb9c1dc@mhfdat-jp.bin,消臭玉,
0xb9c1e0@mhfdat-jp.bin,捕獲用麻酔玉,
0xb9c1e4@mhfdat-jp.bin,クモの巣,
0xb9c1e8@mhfdat-jp.bin,ネット,
0xb9c1ec@mhfdat-jp.bin,トラップツール,
0xb9c1f0@mhfdat-jp.bin,落とし穴,
0xb9c1f4@mhfdat-jp.bin,シビレ罠,
0xb9c1f8@mhfdat-jp.bin,爆雷針,
0xb9c1fc@mhfdat-jp.bin,（ダミー）,
0xb9c200@mhfdat-jp.bin,タルの蓋,
0xb9c204@mhfdat-jp.bin,小タル,
0xb9c208@mhfdat-jp.bin,大タル,
0xb9c20c@mhfdat-jp.bin,小タル爆弾,
0xb9c210@mhfdat-jp.bin,小タル爆弾Ｇ,
0xb9c214@mhfdat-jp.bin,大タル爆弾,
0xb9c218@mhfdat-jp.bin,大タル爆弾Ｇ,
0xb9c21c@mhfdat-jp.bin,打上げタル爆弾,
0xb9c220@mhfdat-jp.bin,打上げタル爆弾Ｇ,
0xb9c224@mhfdat-jp.bin,対巨龍爆弾,
0xb9c228@mhfdat-jp.bin,イベント爆弾,
0xb9c22c@mhfdat-jp.bin,カラの実,
0xb9c230@mhfdat-jp.bin,カラ骨【小】,
0xb9c234@mhfdat-jp.bin,カラ骨【大】,
0xb9c238@mhfdat-jp.bin,LV1 通常弾,
0xb9c23c@mhfdat-jp.bin,LV2 通常弾,
0xb9c240@mhfdat-jp.bin,LV3 通常弾,
0xb9c244@mhfdat-jp.bin,LV1 貫通弾,
0xb9c248@mhfdat-jp.bin,LV2 貫通弾,
0xb9c24c@mhfdat-jp.bin,LV3 貫通弾,
0xb9c250@mhfdat-jp.bin,LV1 散弾,
0xb9c254@mhfdat-jp.bin,LV2 散弾,
0xb9c258@mhfdat-jp.bin,LV3 散弾,
0xb9c25c@mhfdat-jp.bin,LV1 徹甲榴弾,
0xb9c260@mhfdat-jp.bin,LV2 徹甲榴弾,
0xb9c264@mhfdat-jp.bin,LV3 徹甲榴弾,
0xb9c268@mhfdat-jp.bin,LV1 拡散弾,
0xb9c26c@mhfdat-jp.bin,LV2 拡散弾,
0xb9c270@mhfdat-jp.bin,LV3 拡散弾,
0xb9c274@mhfdat-jp.bin,火炎弾,
0xb9c278@mhfdat-jp.bin,水冷弾,
0xb9c27c@mhfdat-jp.bin,電撃弾,
0xb9c280@mhfdat-jp.bin,氷結弾,
0xb9c284@mhfdat-jp.bin,滅龍弾,
0xb9c288@mhfdat-jp.bin,LV1 回復弾,
0xb9c28c@mhfdat-jp.bin,LV2 回復弾,
0xb9c290@mhfdat-jp.bin,LV1 毒弾,
0xb9c294@mhfdat-jp.bin,LV2 毒弾,
0xb9c298@mhfdat-jp.bin,LV1 麻痺弾,
0xb9c29c@mhfdat-jp.bin,LV2 麻痺弾,
0xb9c2a0@mhfdat-jp.bin,LV1 睡眠弾,
0xb9c2a4@mhfdat-jp.bin,LV2 睡眠弾,
0xb9c2a8@mhfdat-jp.bin,捕獲用麻酔弾,
0xb9c2ac@mhfdat-jp.bin,ペイント弾,
0xb9c2b0@mhfdat-jp.bin,鬼人弾,
0xb9c2b4@mhfdat-jp.bin,硬化弾,
0xb9c2b8@mhfdat-jp.bin,（ダミー）,
0xb9c2bc@mhfdat-jp.bin,ビン無し,
0xb9c2c0@mhfdat-jp.bin,空きビン,
0xb9c2c4@mhfdat-jp.bin,強撃ビン,
0xb9c2c8@mhfdat-jp.bin,毒ビン,
0xb9c2cc@mhfdat-jp.bin,麻痺ビン,
0xb9c2d0@mhfdat-jp.bin,睡眠ビン,
0xb9c2d4@mhfdat-jp.bin,（ダミー）,
0xb9c2d8@mhfdat-jp.bin,釣りバッタ,
0xb9c2dc@mhfdat-jp.bin,釣りミミズ,
0xb9c2e0@mhfdat-jp.bin,釣りホタル,
0xb9c2e4@mhfdat-jp.bin,釣りカエル,
0xb9c2e8@mhfdat-jp.bin,マグダンゴ,
0xb9c2ec@mhfdat-jp.bin,アロダンゴ,
0xb9c2f0@mhfdat-jp.bin,黄金ダンゴ,
0xb9c2f4@mhfdat-jp.bin,釣りフィーバエ,
0xb9c2f8@mhfdat-jp.bin,ボロピッケル,
0xb9c2fc@mhfdat-jp.bin,ピッケル,
0xb9c300@mhfdat-jp.bin,ピッケルグレート,
0xb9c304@mhfdat-jp.bin,ボロ虫あみ,
0xb9c308@mhfdat-jp.bin,虫あみ,
0xb9c30c@mhfdat-jp.bin,虫あみグレート,
0xb9c310@mhfdat-jp.bin,肉焼きセット,
0xb9c314@mhfdat-jp.bin,高速肉焼きセット,
0xb9c318@mhfdat-jp.bin,男の肉焼きセット,
0xb9c31c@mhfdat-jp.bin,女の肉焼きセット,
0xb9c320@mhfdat-jp.bin,猫の肉焼きセット,
0xb9c324@mhfdat-jp.bin,よろず焼きキット,
0xb9c328@mhfdat-jp.bin,よろず焼きセット,
0xb9c32c@mhfdat-jp.bin,よろず焼き・肉,
0xb9c330@mhfdat-jp.bin,よろず焼き・肉,
0xb9c334@mhfdat-jp.bin,よろず焼き・肉,
0xb9c338@mhfdat-jp.bin,よろず焼き・肉,
0xb9c33c@mhfdat-jp.bin,よろず焼き・肉,
0xb9c340@mhfdat-jp.bin,よろず焼き・魚,
0xb9c344@mhfdat-jp.bin,よろず焼き・魚,
0xb9c348@mhfdat-jp.bin,（ダミー）,
0xb9c34c@mhfdat-jp.bin,（ダミー）,
0xb9c350@mhfdat-jp.bin,砥石,
0xb9c354@mhfdat-jp.bin,双眼鏡,
0xb9c358@mhfdat-jp.bin,もえないゴミ,
0xb9c35c@mhfdat-jp.bin,角笛,
0xb9c360@mhfdat-jp.bin,回復笛,
0xb9c364@mhfdat-jp.bin,解毒笛,
0xb9c368@mhfdat-jp.bin,鬼人笛,
0xb9c36c@mhfdat-jp.bin,硬化笛,
0xb9c370@mhfdat-jp.bin,ハチミツ,
0xb9c374@mhfdat-jp.bin,太陽草,
0xb9c378@mhfdat-jp.bin,落陽草,
0xb9c37c@mhfdat-jp.bin,薬草,
0xb9c380@mhfdat-jp.bin,げどく草,
0xb9c384@mhfdat-jp.bin,火薬草,
0xb9c388@mhfdat-jp.bin,ツタの葉,
0xb9c38c@mhfdat-jp.bin,ネムリ草,
0xb9c390@mhfdat-jp.bin,ネンチャク草,
0xb9c394@mhfdat-jp.bin,マタタビ,
0xb9c398@mhfdat-jp.bin,サボテンの花,
0xb9c39c@mhfdat-jp.bin,百花サボテン,
0xb9c3a0@mhfdat-jp.bin,トウガラシ,
0xb9c3a4@mhfdat-jp.bin,特産キノコ,
0xb9c3a8@mhfdat-jp.bin,厳選キノコ,
0xb9c3ac@mhfdat-jp.bin,熟成キノコ,
0xb9c3b0@mhfdat-jp.bin,アオキノコ,
0xb9c3b4@mhfdat-jp.bin,ニトロダケ,
0xb9c3b8@mhfdat-jp.bin,マヒダケ,
0xb9c3bc@mhfdat-jp.bin,毒テングダケ,
0xb9c3c0@mhfdat-jp.bin,ドキドキノコ,
