location,source,target
0xb7b640@mhfdat-jp.bin,dummy,
0xb7b644@mhfdat-jp.bin,"‾C05≪総合ショップ≫
‾C00から入手可能。",
0xb7b648@mhfdat-jp.bin,"‾C05≪総合ショップ≫
‾C00から入手可能。",
0xb7b64c@mhfdat-jp.bin,"‾C05≪総合ショップ≫
‾C00から入手可能。",
0xb7b650@mhfdat-jp.bin,"‾C05≪総合ショップ≫
‾C00から入手可能。",
0xb7b654@mhfdat-jp.bin,"‾C05≪総合ショップ≫
‾C00から入手可能。",
0xb7b658@mhfdat-jp.bin,"条件達成時に
‾C05≪調合屋≫‾C00
から入手可能。",
0xb7b65c@mhfdat-jp.bin,"‾C05≪総合ショップ≫
‾C00から入手可能。",
0xb7b660@mhfdat-jp.bin,"‾C05≪調合≫
‾C00することで入手可能。",
0xb7b664@mhfdat-jp.bin,"‾C05≪総合ショップ≫
‾C00から入手可能。",
0xb7b668@mhfdat-jp.bin,"‾C05≪調合≫‾C00することや
‾C05≪ギルド貢献Ｐ交換≫
‾C00から入手可能。",
0xb7b66c@mhfdat-jp.bin,"‾C05≪総合ショップ≫
‾C00から入手可能。",
0xb7b670@mhfdat-jp.bin,"‾C05≪調合≫
‾C00することで入手可能。",
0xb7b674@mhfdat-jp.bin,"‾C05≪調合≫
‾C00することで入手可能。",
0xb7b678@mhfdat-jp.bin,"‾C05≪調合≫‾C00することや
‾C05≪ギルド貢献Ｐ交換≫
‾C00から入手可能。",
0xb7b67c@mhfdat-jp.bin,"‾C05≪調合≫
‾C00することで入手可能。",
0xb7b680@mhfdat-jp.bin,"‾C05≪調合≫‾C00することや
‾C05≪ギルド貢献Ｐ交換≫
‾C00から入手可能。",
0xb7b684@mhfdat-jp.bin,"‾C05≪調合≫
‾C00することで入手可能。",
0xb7b688@mhfdat-jp.bin,"‾C05≪調合≫
‾C00することで入手可能。",
0xb7b68c@mhfdat-jp.bin,"‾C05≪調合≫‾C00することや
‾C05≪ギルド貢献Ｐ交換≫
‾C00から入手可能。",
0xb7b690@mhfdat-jp.bin,"‾C05≪調合≫
‾C00することで入手可能。",
0xb7b694@mhfdat-jp.bin,"‾C05≪総合ショップ≫
‾C00から入手可能。",
0xb7b698@mhfdat-jp.bin,"‾C05≪総合ショップ≫
‾C00から入手可能。",
0xb7b69c@mhfdat-jp.bin,"‾C05≪総合ショップ≫
‾C00から入手可能。",
0xb7b6a0@mhfdat-jp.bin,"‾C05≪ＨＲ1〜2≫‾C00の
‾C05≪ランゴスタ≫≪カンタロス≫‾C00や
‾C05≪Ｎポイント交換≫‾C00から入手可能。",
0xb7b6a4@mhfdat-jp.bin,"‾C05≪ＨＲ3〜4≫‾C00の
‾C05≪ランゴスタ≫≪カンタロス≫‾C00や
‾C05≪Ｎポイント交換≫‾C00から入手可能。",
0xb7b6a8@mhfdat-jp.bin,"‾C05≪調合≫
‾C00することで入手可能。",
0xb7b6ac@mhfdat-jp.bin,"‾C05≪調合≫‾C00することや
‾C05≪ギルド貢献Ｐ交換≫
‾C00から入手可能。",
0xb7b6b0@mhfdat-jp.bin,"‾C05≪調合≫‾C00や
‾C05≪Ｎポイント交換≫‾C00
から入手可能。",
0xb7b6b4@mhfdat-jp.bin,"‾C05≪調合≫
‾C00することで入手可能。",
0xb7b6b8@mhfdat-jp.bin,"‾C05≪調合≫
‾C00することで入手可能。",
0xb7b6bc@mhfdat-jp.bin,dummy,
0xb7b6c0@mhfdat-jp.bin,"‾C05≪総合ショップ≫
‾C00から入手可能。",
0xb7b6c4@mhfdat-jp.bin,"‾C05≪調合≫
‾C00することで入手可能。",
0xb7b6c8@mhfdat-jp.bin,"‾C05≪調合≫‾C00することや
‾C05≪ギルド貢献Ｐ交換≫
‾C00から入手可能。",
0xb7b6cc@mhfdat-jp.bin,"‾C05≪総合ショップ≫
‾C00から入手可能。",
0xb7b6d0@mhfdat-jp.bin,"‾C05≪調合≫
‾C00することで入手可能。",
0xb7b6d4@mhfdat-jp.bin,"‾C05≪総合ショップ≫
‾C00から入手可能。",
0xb7b6d8@mhfdat-jp.bin,"‾C05≪調合≫
‾C00することで入手可能。",
0xb7b6dc@mhfdat-jp.bin,"‾C05≪総合ショップ≫
‾C00から入手可能。",
0xb7b6e0@mhfdat-jp.bin,"‾C05≪ＨＲ1〜4≫‾C00の
‾C05≪ブルファンゴ≫≪アプトノス≫
‾C00から入手可能。",
0xb7b6e4@mhfdat-jp.bin,"‾C05≪調合≫
‾C00することで入手可能。",
0xb7b6e8@mhfdat-jp.bin,"‾C05≪調合≫
‾C00することで入手可能。",
0xb7b6ec@mhfdat-jp.bin,"‾C05≪調合≫
‾C00することで入手可能。",
0xb7b6f0@mhfdat-jp.bin,"‾C05≪総合ショップ≫
‾C00から入手可能。",
0xb7b6f4@mhfdat-jp.bin,"‾C05≪総合ショップ≫
‾C00から入手可能。",
0xb7b6f8@mhfdat-jp.bin,"‾C05≪総合ショップ≫
‾C00から入手可能。",
0xb7b6fc@mhfdat-jp.bin,"‾C05≪マイガーデン≫‾C00や
‾C05≪クエスト中≫‾C00に‾C05≪肉焼き≫‾C00
することで入手可能。",
0xb7b700@mhfdat-jp.bin,"‾C05≪マイガーデン≫‾C00や
‾C05≪クエスト中≫‾C00に‾C05≪肉焼き≫‾C00
することで入手可能。",
0xb7b704@mhfdat-jp.bin,"‾C05≪マイガーデン≫‾C00や
‾C05≪クエスト中≫‾C00に‾C05≪肉焼き≫‾C00
することで入手可能。",
0xb7b708@mhfdat-jp.bin,"‾C05≪マイガーデン≫‾C00や
‾C05≪クエスト中≫‾C00に‾C05≪肉焼き≫‾C00
することで入手可能。",
0xb7b70c@mhfdat-jp.bin,"‾C05≪調合≫
‾C00することで入手可能。",
0xb7b710@mhfdat-jp.bin,"‾C05≪調合≫
‾C00することで入手可能。",
0xb7b714@mhfdat-jp.bin,"‾C05≪調合≫
‾C00することで入手可能。",
0xb7b718@mhfdat-jp.bin,"‾C05≪調合≫
‾C00することで入手可能。",
0xb7b71c@mhfdat-jp.bin,"‾C05≪調合≫
‾C00することで入手可能。",
0xb7b720@mhfdat-jp.bin,"‾C05≪調合≫
‾C00することで入手可能。",
0xb7b724@mhfdat-jp.bin,"‾C05≪よろず焼きセット≫‾C00で
魚を焼くことで入手可能。",
0xb7b728@mhfdat-jp.bin,"‾C05≪よろず焼きセット≫‾C00で
魚を焼くことで入手可能。",
0xb7b72c@mhfdat-jp.bin,"‾C05≪よろず焼きセット≫‾C00で
魚を焼くことで入手可能。",
0xb7b730@mhfdat-jp.bin,"‾C05≪よろず焼きセット≫‾C00で
魚を焼くことで入手可能。",
0xb7b734@mhfdat-jp.bin,"‾C05≪よろず焼きセット≫‾C00で
魚を焼くことで入手可能。",
0xb7b738@mhfdat-jp.bin,"‾C05≪よろず焼きセット≫‾C00で
魚を焼くことで入手可能。",
0xb7b73c@mhfdat-jp.bin,dummy,
0xb7b740@mhfdat-jp.bin,"‾C05≪総合ショップ≫
‾C00から入手可能。",
0xb7b744@mhfdat-jp.bin,"クエストの‾C05≪支給品≫‾C00
‾C02持ち帰り不可。",
0xb7b748@mhfdat-jp.bin,"クエストの‾C05≪支給品≫‾C00
‾C02持ち帰り不可。",
0xb7b74c@mhfdat-jp.bin,"クエストの‾C05≪支給品≫‾C00
‾C02持ち帰り不可。",
0xb7b750@mhfdat-jp.bin,"クエストの‾C05≪支給品≫‾C00
‾C02持ち帰り不可。",
0xb7b754@mhfdat-jp.bin,"クエストの‾C05≪支給品≫‾C00
‾C02持ち帰り不可。",
0xb7b758@mhfdat-jp.bin,"‾C05≪総合ショップ≫
‾C00から入手可能。",
0xb7b75c@mhfdat-jp.bin,"‾C05≪調合≫
‾C00することで入手可能。",
0xb7b760@mhfdat-jp.bin,"‾C05≪調合≫
‾C00することで入手可能。",
0xb7b764@mhfdat-jp.bin,"‾C05≪調合≫
‾C00することで入手可能。",
0xb7b768@mhfdat-jp.bin,"‾C05≪マイガーデン≫‾C00や
‾C05≪密林≫≪砂漠≫‾C00で
‾C05≪採取≫‾C00することで入手可能。",
0xb7b76c@mhfdat-jp.bin,"‾C05≪調合≫
‾C00することで入手可能。",
0xb7b770@mhfdat-jp.bin,"‾C05≪調合≫
‾C00することで入手可能。",
0xb7b774@mhfdat-jp.bin,"‾C05≪調合≫
‾C00することで入手可能。",
0xb7b778@mhfdat-jp.bin,"‾C05≪総合ショップ≫
‾C00から入手可能。",
0xb7b77c@mhfdat-jp.bin,"‾C05≪調合≫
‾C00することで入手可能。",
0xb7b780@mhfdat-jp.bin,"‾C05≪調合≫
‾C00することで入手可能。",
0xb7b784@mhfdat-jp.bin,"‾C05≪密林≫≪沼地≫‾C00で
‾C05≪採取≫‾C00
することで入手可能。",
0xb7b788@mhfdat-jp.bin,"‾C05≪調合≫
‾C00することで入手可能。",
0xb7b78c@mhfdat-jp.bin,"‾C05≪総合ショップ≫
‾C00から入手可能。",
0xb7b790@mhfdat-jp.bin,"‾C05≪調合≫
‾C00することで入手可能。",
0xb7b794@mhfdat-jp.bin,"‾C05≪総合ショップ≫
‾C00から入手可能。",
0xb7b798@mhfdat-jp.bin,"‾C05≪調合≫
‾C00することで入手可能。",
0xb7b79c@mhfdat-jp.bin,dummy,
0xb7b7a0@mhfdat-jp.bin,"‾C05≪沼地≫‾C00での‾C05≪採取≫‾C00や
‾C05≪Ｎポイント交換≫‾C00
から入手可能。",
0xb7b7a4@mhfdat-jp.bin,"‾C05≪総合ショップ≫
‾C00から入手可能。",
0xb7b7a8@mhfdat-jp.bin,"‾C05≪総合ショップ≫
‾C00から入手可能。",
0xb7b7ac@mhfdat-jp.bin,"‾C05≪総合ショップ≫
‾C00から入手可能。",
0xb7b7b0@mhfdat-jp.bin,"‾C05≪調合≫
‾C00することで入手可能。",
0xb7b7b4@mhfdat-jp.bin,"‾C05≪総合ショップ≫
‾C00から入手可能。",
0xb7b7b8@mhfdat-jp.bin,"‾C05≪調合≫
‾C00することで入手可能。",
0xb7b7bc@mhfdat-jp.bin,"‾C05≪総合ショップ≫
‾C00から入手可能。",
0xb7b7c0@mhfdat-jp.bin,"‾C05≪マイガーデン≫‾C00で
入手可能。",
0xb7b7c4@mhfdat-jp.bin,"クエストの‾C05≪支給品≫‾C00
‾C02持ち帰り不可。",
0xb7b7c8@mhfdat-jp.bin,dummy,
0xb7b7cc@mhfdat-jp.bin,"‾C05≪火山≫‾C00での‾C05≪採取≫‾C00や
‾C05≪調合屋≫‾C00から入手可能。",
0xb7b7d0@mhfdat-jp.bin,"‾C05≪マイガーデン≫‾C00や
‾C05≪密林≫‾C00で
‾C05≪採取≫‾C00することで入手可能。",
0xb7b7d4@mhfdat-jp.bin,"‾C05≪樹海≫≪高地≫‾C00で
‾C05≪採取≫‾C00
することで入手可能。",
0xb7b7d8@mhfdat-jp.bin,dummy,
0xb7b7dc@mhfdat-jp.bin,"‾C05≪総合ショップ≫
‾C00から入手可能。",
0xb7b7e0@mhfdat-jp.bin,"‾C05≪総合ショップ≫
‾C00から入手可能。",
0xb7b7e4@mhfdat-jp.bin,"‾C05≪総合ショップ≫
‾C00から入手可能。",
0xb7b7e8@mhfdat-jp.bin,"‾C05≪総合ショップ≫
‾C00から入手可能。",
0xb7b7ec@mhfdat-jp.bin,"‾C05≪総合ショップ≫
‾C00から入手可能。",
0xb7b7f0@mhfdat-jp.bin,"‾C05≪総合ショップ≫
‾C00から入手可能。",
0xb7b7f4@mhfdat-jp.bin,"‾C05≪総合ショップ≫
‾C00から入手可能。",
0xb7b7f8@mhfdat-jp.bin,"‾C05≪総合ショップ≫
‾C00から入手可能。",
0xb7b7fc@mhfdat-jp.bin,"‾C05≪総合ショップ≫
‾C00から入手可能。",
0xb7b800@mhfdat-jp.bin,"‾C05≪総合ショップ≫
‾C00から入手可能。",
0xb7b804@mhfdat-jp.bin,"‾C05≪調合≫
‾C00することで入手可能。",
0xb7b808@mhfdat-jp.bin,"‾C05≪総合ショップ≫
‾C00から入手可能。",
0xb7b80c@mhfdat-jp.bin,"‾C05≪総合ショップ≫
‾C00から入手可能。",
0xb7b810@mhfdat-jp.bin,"‾C05≪調合≫
‾C00することで入手可能。",
0xb7b814@mhfdat-jp.bin,"‾C05≪総合ショップ≫
‾C00から入手可能。",
0xb7b818@mhfdat-jp.bin,"‾C05≪総合ショップ≫
‾C00から入手可能。",
0xb7b81c@mhfdat-jp.bin,"‾C05≪総合ショップ≫
‾C00から入手可能。",
0xb7b820@mhfdat-jp.bin,"‾C05≪総合ショップ≫
‾C00から入手可能。",
0xb7b824@mhfdat-jp.bin,"‾C05≪調合≫
‾C00することで入手可能。",
0xb7b828@mhfdat-jp.bin,"‾C05≪総合ショップ≫
‾C00から入手可能。",
0xb7b82c@mhfdat-jp.bin,"‾C05≪総合ショップ≫
‾C00から入手可能。",
0xb7b830@mhfdat-jp.bin,"‾C05≪総合ショップ≫
‾C00から入手可能。",
0xb7b834@mhfdat-jp.bin,"‾C05≪調合≫
‾C00することで入手可能。",
0xb7b838@mhfdat-jp.bin,"‾C05≪総合ショップ≫
‾C00から入手可能。",
0xb7b83c@mhfdat-jp.bin,"‾C05≪調合≫
‾C00することで入手可能。",
0xb7b840@mhfdat-jp.bin,"‾C05≪総合ショップ≫
‾C00から入手可能。",
0xb7b844@mhfdat-jp.bin,"‾C05≪調合≫
‾C00することで入手可能。",
0xb7b848@mhfdat-jp.bin,"‾C05≪調合≫
‾C00することで入手可能。",
0xb7b84c@mhfdat-jp.bin,"‾C05≪調合≫
‾C00することで入手可能。",
0xb7b850@mhfdat-jp.bin,"‾C05≪調合≫
‾C00することで入手可能。",
0xb7b854@mhfdat-jp.bin,"‾C05≪調合≫
‾C00することで入手可能。",
0xb7b858@mhfdat-jp.bin,dummy,
0xb7b85c@mhfdat-jp.bin,dummy,
0xb7b860@mhfdat-jp.bin,"‾C05≪総合ショップ≫
‾C00から入手可能。",
0xb7b864@mhfdat-jp.bin,"‾C05≪総合ショップ≫
‾C00から入手可能。",
0xb7b868@mhfdat-jp.bin,"‾C05≪総合ショップ≫
‾C00から入手可能。",
0xb7b86c@mhfdat-jp.bin,"‾C05≪総合ショップ≫
‾C00から入手可能。",
0xb7b870@mhfdat-jp.bin,"‾C05≪総合ショップ≫
‾C00から入手可能。",
0xb7b874@mhfdat-jp.bin,dummy,
0xb7b878@mhfdat-jp.bin,"‾C05≪総合ショップ≫
‾C00から入手可能。",
0xb7b87c@mhfdat-jp.bin,"‾C05≪総合ショップ≫
‾C00から入手可能。",
0xb7b880@mhfdat-jp.bin,"‾C05≪総合ショップ≫
‾C00から入手可能。",
0xb7b884@mhfdat-jp.bin,"‾C05≪密林≫≪砂漠≫‾C00で
‾C05≪採取≫‾C00
することで入手可能。",
0xb7b888@mhfdat-jp.bin,"‾C05≪調合≫
‾C00することで入手可能。",
0xb7b88c@mhfdat-jp.bin,"‾C05≪調合≫
‾C00することで入手可能。",
0xb7b890@mhfdat-jp.bin,"‾C05≪調合≫
‾C00することで入手可能。",
0xb7b894@mhfdat-jp.bin,"‾C05≪総合ショップ≫
‾C00から入手可能。",
0xb7b898@mhfdat-jp.bin,"‾C05≪総合ショップ≫
‾C00から入手可能。",
0xb7b89c@mhfdat-jp.bin,"‾C05≪総合ショップ≫
‾C00から入手可能。",
0xb7b8a0@mhfdat-jp.bin,"‾C05≪総合ショップ≫
‾C00から入手可能。",
0xb7b8a4@mhfdat-jp.bin,"‾C05≪総合ショップ≫
‾C00から入手可能。",
0xb7b8a8@mhfdat-jp.bin,"‾C05≪総合ショップ≫
‾C00から入手可能。",
0xb7b8ac@mhfdat-jp.bin,"‾C05≪総合ショップ≫
‾C00から入手可能。",
0xb7b8b0@mhfdat-jp.bin,"‾C05≪総合ショップ≫
‾C00から入手可能。",
0xb7b8b4@mhfdat-jp.bin,"‾C05≪森丘≫‾C00の山菜ジジィと
‾C05≪アイテム交換≫‾C00で入手可能。",
0xb7b8b8@mhfdat-jp.bin,"‾C05≪総合ショップ≫‾C00
から入手可能。",
0xb7b8bc@mhfdat-jp.bin,"‾C05≪総合ショップ≫
‾C00から入手可能。",
0xb7b8c0@mhfdat-jp.bin,"‾C05≪森丘≫‾C00の山菜ジジィと
‾C05≪アイテム交換≫‾C00で入手可能。",
0xb7b8c4@mhfdat-jp.bin,"‾C05≪総合ショップ≫
‾C00から入手可能。",
0xb7b8c8@mhfdat-jp.bin,"‾C05≪調合≫
‾C00することで入手可能。",
0xb7b8cc@mhfdat-jp.bin,"‾C05≪調合≫
‾C00することで入手可能。",
0xb7b8d0@mhfdat-jp.bin,"‾C05≪調合≫
‾C00することで入手可能。",
0xb7b8d4@mhfdat-jp.bin,"‾C05≪調合≫
‾C00することで入手可能。",
0xb7b8d8@mhfdat-jp.bin,"‾C05≪調合≫
‾C00することで入手可能。",
0xb7b8dc@mhfdat-jp.bin,"‾C05≪調合≫
‾C00することで入手可能。",
0xb7b8e0@mhfdat-jp.bin,"‾C05≪調合≫
‾C00することで入手可能。",
0xb7b8e4@mhfdat-jp.bin,"‾C05≪調合≫
‾C00することで入手可能。",
0xb7b8e8@mhfdat-jp.bin,dummy,
0xb7b8ec@mhfdat-jp.bin,dummy,
0xb7b8f0@mhfdat-jp.bin,"‾C05≪総合ショップ≫
‾C00から入手可能。",
