location,source,target
0x18ef7c4@mhfdat-jp.bin,不明,
0x18ef7d8@mhfdat-jp.bin,なし,
0x18ef7ec@mhfdat-jp.bin,HR1〜,
0x18ef800@mhfdat-jp.bin,HR2〜,
0x18ef814@mhfdat-jp.bin,HR3〜,
0x18ef828@mhfdat-jp.bin,HR4〜,
0x18ef83c@mhfdat-jp.bin,HR5〜,
0x18ef850@mhfdat-jp.bin,HR6〜,
0x18ef864@mhfdat-jp.bin,HR7〜,
0x18ef878@mhfdat-jp.bin,GR1〜,
0x18ef88c@mhfdat-jp.bin,GR100‾,
0x18ef8a0@mhfdat-jp.bin,GR200‾,
0x18ef8b4@mhfdat-jp.bin,GR400‾,
0x18ef8c8@mhfdat-jp.bin,GR600‾,
0x18ef8dc@mhfdat-jp.bin,GR800‾,
0x18ef8f0@mhfdat-jp.bin,GR999,
0x18ef904@mhfdat-jp.bin,不明,
