location,source,target
0x938a60@mhfdat-jp.bin,装備無し,
0x938a64@mhfdat-jp.bin,アイアンソード,
0x938a68@mhfdat-jp.bin,アイアンソード改,
0x938a6c@mhfdat-jp.bin,バスターソード,
0x938a70@mhfdat-jp.bin,ソウルオブキャット,
0x938a74@mhfdat-jp.bin,天下無双刀,
0x938a78@mhfdat-jp.bin,バスターブレイド,
0x938a7c@mhfdat-jp.bin,ブルーウィング,
0x938a80@mhfdat-jp.bin,ブレイズブレイド,
0x938a84@mhfdat-jp.bin,アッパーブレイズ,
0x938a88@mhfdat-jp.bin,鉄刀,
0x938a8c@mhfdat-jp.bin,鉄刀【禊】,
0x938a90@mhfdat-jp.bin,鉄刀【神楽】,
0x938a94@mhfdat-jp.bin,骨刀【狼牙】,
0x938a98@mhfdat-jp.bin,骨刀【鮫牙】,
0x938a9c@mhfdat-jp.bin,骨刀【竜牙】,
0x938aa0@mhfdat-jp.bin,黒刀【零ノ型】,
0x938aa4@mhfdat-jp.bin,黒刀【弐ノ型】,
0x938aa8@mhfdat-jp.bin,ディフェンダー,
0x938aac@mhfdat-jp.bin,飛竜刀【朱】,
0x938ab0@mhfdat-jp.bin,センチネル,
0x938ab4@mhfdat-jp.bin,ハルバード,
0x938ab8@mhfdat-jp.bin,飛竜刀【青葉】,
0x938abc@mhfdat-jp.bin,ジャッジメント,
0x938ac0@mhfdat-jp.bin,エクスキューション,
0x938ac4@mhfdat-jp.bin,エクスキューション改,
0x938ac8@mhfdat-jp.bin,ダークサイス,
0x938acc@mhfdat-jp.bin,ダークトーメント,
0x938ad0@mhfdat-jp.bin,ボーンブレイド,
0x938ad4@mhfdat-jp.bin,ボーンブレイド改,
0x938ad8@mhfdat-jp.bin,アギト,
0x938adc@mhfdat-jp.bin,黒刀【参ノ型】,
0x938ae0@mhfdat-jp.bin,リュウノアギト,
0x938ae4@mhfdat-jp.bin,レッドストライプ,
0x938ae8@mhfdat-jp.bin,ゴーレムブレイド,
0x938aec@mhfdat-jp.bin,ヴァルキリーブレイド,
0x938af0@mhfdat-jp.bin,ジークリンデ,
0x938af4@mhfdat-jp.bin,ドラゴンキラー,
0x938af8@mhfdat-jp.bin,レッドシザー,
0x938afc@mhfdat-jp.bin,フィンブレイド,
