location,source,target
0xa66be0@mhfdat-jp.bin,装備無し,
0xa66be4@mhfdat-jp.bin,"工房にて大量に生産される安<join at=""10906600"">価なライトボウガン。入門用<join at=""10906604"">として最適の一丁。",
0xa66bf0@mhfdat-jp.bin,"新技術の速射機能を実験的に<join at=""10906612"">搭載。‾C03LV1 通常弾‾C00の‾C03速射‾C00が可<join at=""10906616"">能になったライトボウガン。",
0xa66bfc@mhfdat-jp.bin,"カンタロスの素材でフレーム<join at=""10906624"">強度を上げて、威力も向上さ<join at=""10906628"">せたライトボウガン。",
0xa66c08@mhfdat-jp.bin,"単独モンスターとの戦闘に特<join at=""10906636"">化した攻撃型ライトボウガン。<join at=""10906640"">補助系特殊弾の多くが非対応。",
0xa66c14@mhfdat-jp.bin,"単独モンスターとの戦闘に特<join at=""10906648"">化した攻撃型ライトボウガン<join at=""10906652"">の強化版。さらに威力が向上。",
0xa66c20@mhfdat-jp.bin,"ストレートフレームを採用し<join at=""10906660"">た散弾の運用に重きを置いた<join at=""10906664"">ライトボウガン。",
0xa66c2c@mhfdat-jp.bin,"高レベルの散弾にも対応した、<join at=""10906672"">散弾重視系ライトボウガンの<join at=""10906676"">改良版。",
0xa66c38@mhfdat-jp.bin,"補助系特殊弾の対応数も多い、<join at=""10906684"">散弾重視系ライトボウガンの<join at=""10906688"">改良発展版。",
0xa66c44@mhfdat-jp.bin,"威力よりも、より多種の弾の<join at=""10906696"">運用を目標に改良された細身<join at=""10906700"">のライトボウガン。",
0xa66c50@mhfdat-jp.bin,"リロードの高速化を図ったラ<join at=""10906708"">イトボウガン。機動力を生か<join at=""10906712"">した戦闘が可能。",
0xa66c5c@mhfdat-jp.bin,"低・中レベルの攻撃系特殊弾<join at=""10906720"">が多種扱える超攻撃仕様。<join at=""10906724"">‾C03LV1 徹甲榴弾‾C00が‾C03速射‾C00対応に。",
0xa66c68@mhfdat-jp.bin,"中・高レベルの攻撃系特殊弾<join at=""10906732"">が多種扱える超攻撃型ライト<join at=""10906736"">ボウガン。",
0xa66c74@mhfdat-jp.bin,"最も多く流通しているヘビィ<join at=""10906744"">ボウガン。汎用性の高さが人<join at=""10906748"">気を呼んでいる。",
0xa66c80@mhfdat-jp.bin,"汎用フレームを骨素材で強化<join at=""10906756"">したヘビィボウガン。使用可<join at=""10906760"">能な弾も増加。",
0xa66c8c@mhfdat-jp.bin,"散弾の全レベルと比較的豊富<join at=""10906768"">に補助系特殊弾を使用できる<join at=""10906772"">ヘビィボウガン。",
0xa66c98@mhfdat-jp.bin,"リロードの高速化が図られた<join at=""10906780"">ヘビィボウガン。低レベル弾<join at=""10906784"">が主だが使用可能弾は豊富。",
0xa66ca4@mhfdat-jp.bin,"キリンの素材を使用した美し<join at=""10906792"">いヘビィボウガン。実射性能<join at=""10906796"">も他と遜色ない仕上がり。",
0xa66cb0@mhfdat-jp.bin,"希少金属によって製作された<join at=""10906804"">ヘビィボウガン。シンプルな<join at=""10906808"">構造だが高威力を発揮する。",
0xa66cbc@mhfdat-jp.bin,"青いイャンクックの素材を使<join at=""10906816"">用した重砲。扱うにはある程<join at=""10906820"">度以上の腕力が要求される。",
0xa66cc8@mhfdat-jp.bin,"イャンガルルガの素材から作<join at=""10906828"">られた黒きヘビィボウガン。<join at=""10906832"">その一撃は堅固な盾すら貫く。",
0xa66cd4@mhfdat-jp.bin,"老山龍の素材から作られた、<join at=""10906840"">最高威力と防御性能を持つ<join at=""10906844"">ヘビィボウガンの究極形態。",
0xa66ce0@mhfdat-jp.bin,"特異な姿を持つヘビィボウガ<join at=""10906852"">ン。ある弾を運用するための<join at=""10906856"">試作品との噂がある。",
0xa66cec@mhfdat-jp.bin,"龍を倒すための特殊弾を運用<join at=""10906864"">するために開発されたヘビィ<join at=""10906868"">ボウガン。",
0xa66cf8@mhfdat-jp.bin,"ギルド製のボウガンとは設計<join at=""10906876"">思想が異なる、正体不明の品。<join at=""10906880"">しかし実射性能は非常に高い。",
