location,source,target
0x934860@mhfdat-jp.bin,装備無し,
0x934864@mhfdat-jp.bin,クロスボウガン,
0x934868@mhfdat-jp.bin,クロスボウガン改,
0x93486c@mhfdat-jp.bin,カンタロスガン,
0x934870@mhfdat-jp.bin,ヴァルキリーファイア,
0x934874@mhfdat-jp.bin,スパルタカスファイア,
0x934878@mhfdat-jp.bin,ショットボウガン・蒼,
0x93487c@mhfdat-jp.bin,ショットボウガン・碧,
0x934880@mhfdat-jp.bin,ショットボウガン・紅,
0x934884@mhfdat-jp.bin,メイルシュトローム,
0x934888@mhfdat-jp.bin,デザートストーム,
0x93488c@mhfdat-jp.bin,グレネードボウガン,
0x934890@mhfdat-jp.bin,タイタングレネード,
0x934894@mhfdat-jp.bin,アルバレスト,
0x934898@mhfdat-jp.bin,アルバレスト改,
0x93489c@mhfdat-jp.bin,タンクメイジ,
0x9348a0@mhfdat-jp.bin,ラピッドキャスト,
0x9348a4@mhfdat-jp.bin,クイックキャスト,
0x9348a8@mhfdat-jp.bin,メテオキャノン,
0x9348ac@mhfdat-jp.bin,青イャンクック砲,
0x9348b0@mhfdat-jp.bin,カホウ【烏】,
0x9348b4@mhfdat-jp.bin,老山龍砲,
0x9348b8@mhfdat-jp.bin,インジェクションガン,
0x9348bc@mhfdat-jp.bin,ラストニードル,
0x9348c0@mhfdat-jp.bin,鬼ヶ島,
0x9348c4@mhfdat-jp.bin,ショットボウガン・白,
0x9348c8@mhfdat-jp.bin,グラビモスロア,
0x9348cc@mhfdat-jp.bin,超イャンクック砲,
0x9348d0@mhfdat-jp.bin,Ｓ・クロスボウガン,
0x9348d4@mhfdat-jp.bin,ハートヴァルキリー,
0x9348d8@mhfdat-jp.bin,ヴァルキリーブレイズ,
0x9348dc@mhfdat-jp.bin,ハートヴァルキリー改,
0x9348e0@mhfdat-jp.bin,ゴールドヴァルキリー,
0x9348e4@mhfdat-jp.bin,ソウルスパルタカス,
0x9348e8@mhfdat-jp.bin,スパルタカスブレイズ,
0x9348ec@mhfdat-jp.bin,ソウルスパルタカス改,
0x9348f0@mhfdat-jp.bin,シルバースパルタカス,
0x9348f4@mhfdat-jp.bin,紅碧の対弩,
0x9348f8@mhfdat-jp.bin,蒼桜の対弩,
0x9348fc@mhfdat-jp.bin,ウラノスグレネード,
0x934900@mhfdat-jp.bin,蒼桜の対弩・覇,
0x934904@mhfdat-jp.bin,繚乱の対弩,
0x934908@mhfdat-jp.bin,バレットシャワー・蒼,
0x93490c@mhfdat-jp.bin,バレットシャワー・碧,
0x934910@mhfdat-jp.bin,バレットシャワー・紅,
0x934914@mhfdat-jp.bin,レインバレッツ・白,
0x934918@mhfdat-jp.bin,メイルシュトローム改,
0x93491c@mhfdat-jp.bin,サンドフォール,
0x934920@mhfdat-jp.bin,デザートテンペスト,
0x934924@mhfdat-jp.bin,サンドフォール改,
0x934928@mhfdat-jp.bin,グレネードボウガン改,
0x93492c@mhfdat-jp.bin,タイタングレネード改,
0x934930@mhfdat-jp.bin,クロノスグレネード,
0x934934@mhfdat-jp.bin,クックアンガー,
0x934938@mhfdat-jp.bin,クックレイジ,
0x93493c@mhfdat-jp.bin,クロオビボウガン,
0x934940@mhfdat-jp.bin,タツジンボウガン,
0x934944@mhfdat-jp.bin,神ヶ島,
0x934948@mhfdat-jp.bin,ダークフリルパラソル,
0x93494c@mhfdat-jp.bin,パールフリルパラソル,
0x934950@mhfdat-jp.bin,ピンクフリルパラソル,
0x934954@mhfdat-jp.bin,Ｓ・アルバレスト,
0x934958@mhfdat-jp.bin,タンクメイジ改,
0x93495c@mhfdat-jp.bin,バストンメイジ,
0x934960@mhfdat-jp.bin,クイックキャスト改,
0x934964@mhfdat-jp.bin,デュエルキャスト,
0x934968@mhfdat-jp.bin,デュエルキャスト改,
0x93496c@mhfdat-jp.bin,モノデビルキャスト,
0x934970@mhfdat-jp.bin,モノデビルキャスト改,
0x934974@mhfdat-jp.bin,メテオバスター,
0x934978@mhfdat-jp.bin,ヴォルキャノン,
0x93497c@mhfdat-jp.bin,ディスティハーダ,
0x934980@mhfdat-jp.bin,イャンクック砲,
0x934984@mhfdat-jp.bin,老山龍砲・覇,
0x934988@mhfdat-jp.bin,老山龍砲・皇,
0x93498c@mhfdat-jp.bin,ハニーコーマー,
0x934990@mhfdat-jp.bin,グラビモスハウル,
0x934994@mhfdat-jp.bin,三眼の獅子筒,
0x934998@mhfdat-jp.bin,ハンターボウ賕,
0x93499c@mhfdat-jp.bin,ワイルドボウ賕,
0x9349a0@mhfdat-jp.bin,パワーワイルドボウ賖,
0x9349a4@mhfdat-jp.bin,クイーンブラスター賖,
0x9349a8@mhfdat-jp.bin,ハートショットボウ賖,
0x9349ac@mhfdat-jp.bin,プロミネンスボウ賖,
0x9349b0@mhfdat-jp.bin,ソニックボウ賕,
