location,source,target
0x184404@mhfpac.bin,髪の色だけ変える,
0x184414@mhfpac.bin,ココット編み,
0x184424@mhfpac.bin,ハンターロング,
0x184434@mhfpac.bin,ジャングルウッズ,
0x184444@mhfpac.bin,ココットショート,
0x184454@mhfpac.bin,キリンテール,
0x184464@mhfpac.bin,カチューシャ編み,
0x184474@mhfpac.bin,クックウイング,
0x184484@mhfpac.bin,ブランゴアーム,
0x184494@mhfpac.bin,ボルカドレッド,
0x1844a4@mhfpac.bin,レイアレイヤー,
0x1844b4@mhfpac.bin,ウィンドボブ,
0x1844c4@mhfpac.bin,ナデシコ,
0x1844d4@mhfpac.bin,ドスシャギー,
0x1844e4@mhfpac.bin,ケルビテール,
0x1844f4@mhfpac.bin,タオヤメ,
0x184504@mhfpac.bin,ピースフルハート,
0x184514@mhfpac.bin,ドラゴン刈り,
0x184524@mhfpac.bin,ココットウェーブ,
0x184534@mhfpac.bin,プリンセスロール,
0x184544@mhfpac.bin,ブラザーアフロ,
0x184554@mhfpac.bin,ジャンボカーリー,
0x184564@mhfpac.bin,ザザミ結び,
0x184574@mhfpac.bin,ガウシカテール,
0x184584@mhfpac.bin,ナナストレート,
0x184594@mhfpac.bin,ポッケ編み,
0x1845a4@mhfpac.bin,ギザミシックル,
0x1845b4@mhfpac.bin,ポルタ結い,
0x1845c4@mhfpac.bin,メゼローリー[空],
0x1845d4@mhfpac.bin,メゼローリー[緑],
0x1845e4@mhfpac.bin,メゼローリー[白],
0x1845f4@mhfpac.bin,メゼローリー[桃],
0x184604@mhfpac.bin,メゼローリー[赤],
0x184614@mhfpac.bin,メゼローリー[青],
0x184624@mhfpac.bin,メゼローリー[黄],
0x184634@mhfpac.bin,メゼローリー[蓬],
0x184644@mhfpac.bin,メゼローリー[紫],
0x184654@mhfpac.bin,メゼローリー[茶],
0x184664@mhfpac.bin,メゼローリー[珠],
0x184674@mhfpac.bin,メゼローリー[艶],
0x184684@mhfpac.bin,ポルテール[空],
0x184694@mhfpac.bin,ポルテール[緑],
0x1846a4@mhfpac.bin,ポルテール[白],
0x1846b4@mhfpac.bin,ポルテール[桃],
0x1846c4@mhfpac.bin,ポルテール[赤],
0x1846d4@mhfpac.bin,ポルテール[青],
0x1846e4@mhfpac.bin,ポルテール[黄],
0x1846f4@mhfpac.bin,ポルテール[蓬],
0x184704@mhfpac.bin,ポルテール[紫],
0x184714@mhfpac.bin,ポルテール[茶],
0x184724@mhfpac.bin,ポルテール[珠],
0x184734@mhfpac.bin,ポルテール[艶],
0x184744@mhfpac.bin,メゼシエラ[空],
0x184754@mhfpac.bin,メゼシエラ[緑],
0x184764@mhfpac.bin,メゼシエラ[白],
0x184774@mhfpac.bin,メゼシエラ[桃],
0x184784@mhfpac.bin,メゼシエラ[赤],
0x184794@mhfpac.bin,メゼシエラ[青],
0x1847a4@mhfpac.bin,メゼシエラ[黄],
0x1847b4@mhfpac.bin,メゼシエラ[蓬],
0x1847c4@mhfpac.bin,メゼシエラ[紫],
0x1847d4@mhfpac.bin,メゼシエラ[茶],
0x1847e4@mhfpac.bin,メゼシエラ[星],
